postal,municipality,region
1050,101,1084
1051,101,1084
1052,101,1084
1053,101,1084
1054,101,1084
1055,101,1084
1056,101,1084
1057,101,1084
1058,101,1084
1059,101,1084
1061,101,1084
1062,101,1084
1063,101,1084
1064,101,1084
1065,101,1084
1066,101,1084
1067,101,1084
1068,101,1084
1069,101,1084
1070,101,1084
1071,101,1084
1072,101,1084
1073,101,1084
1074,101,1084
1100,101,1084
1101,101,1084
1102,101,1084
1103,101,1084
1104,101,1084
1106,101,1084
1107,101,1084
1110,101,1084
1111,101,1084
1112,101,1084
1113,101,1084
1114,101,1084
1115,101,1084
1116,101,1084
1117,101,1084
1118,101,1084
1119,101,1084
1123,101,1084
1124,101,1084
1125,101,1084
1127,101,1084
1128,101,1084
1129,101,1084
1130,101,1084
1131,101,1084
1150,101,1084
1151,101,1084
1152,101,1084
1153,101,1084
1154,101,1084
1156,101,1084
1157,101,1084
1158,101,1084
1159,101,1084
1160,101,1084
1161,101,1084
1164,101,1084
1165,101,1084
1166,101,1084
1169,101,1084
1170,101,1084
1171,101,1084
1172,101,1084
1173,101,1084
1174,101,1084
1175,101,1084
1200,101,1084
1201,101,1084
1202,101,1084
1203,101,1084
1204,101,1084
1205,101,1084
1206,101,1084
1207,101,1084
1208,101,1084
1209,101,1084
1210,101,1084
1211,101,1084
1218,101,1084
1220,101,1084
1250,101,1084
1251,101,1084
1253,101,1084
1254,101,1084
1255,101,1084
1256,101,1084
1257,101,1084
1259,101,1084
1260,101,1084
1261,101,1084
1263,101,1084
1264,101,1084
1265,101,1084
1266,101,1084
1267,101,1084
1268,101,1084
1270,101,1084
1271,101,1084
1300,101,1084
1302,101,1084
1303,101,1084
1304,101,1084
1306,101,1084
1307,101,1084
1308,101,1084
1309,101,1084
1310,101,1084
1311,101,1084
1312,101,1084
1313,101,1084
1314,101,1084
1315,101,1084
1316,101,1084
1317,101,1084
1318,101,1084
1319,101,1084
1320,101,1084
1321,101,1084
1322,101,1084
1323,101,1084
1324,101,1084
1325,101,1084
1326,101,1084
1327,101,1084
1328,101,1084
1329,101,1084
1350,101,1084
1352,101,1084
1353,101,1084
1354,101,1084
1355,101,1084
